,0
0,0.866089466089466
1,0.8697663447663447
2,0.8255617398474541
3,0.7958957708957709
4,0.8428571428571429
5,0.8813547563547564
6,0.8375957375957376
7,0.8489795918367345
8,0.8409090909090909
9,0.8036281179138322
10,0.889795918367347
11,0.9213564213564214
12,0.8816017316017317
13,0.9305555555555556
14,0.7855208283779712
15,0.9079365079365079
16,0.9076035076035076
17,0.7990176490176489
18,0.8914862914862915
19,0.9084915084915085
20,0.9305555555555556
21,0.9597402597402597
22,0.7866310160427806
23,0.9036075036075036
24,0.9448979591836736
25,0.8524947274947275
26,0.9478354978354978
27,0.8196581196581197
28,0.9179035250463822
