,0
0,0.8777362125192142
1,0.880265472448303
2,0.874818917969603
3,0.8746488192919143
4,0.8707649764792621
5,0.8694212157797591
6,0.8621150851372822
7,0.8782922478806819
8,0.8666560742399073
9,0.8715933691985025
10,0.8677369825333796
11,0.8778334362211041
12,0.869988237860939
13,0.8655123232207768
14,0.8770182261662437
15,0.8812431487037304
16,0.866587288066302
17,0.8650289773222103
18,0.8668625990687995
19,0.8763651593537362
20,0.873076658024622
21,0.8711808397065847
22,0.8754528180387133
23,0.8705754473481138
24,0.8719608428188858
25,0.8668177132292677
26,0.8736501468208785
27,0.8743939007496635
28,0.8727855748471504
