,0
0,0.8330493250021522
1,0.8533258870268166
2,0.8313311409639558
3,0.8332074442592976
4,0.8504240972440581
5,0.8677406472069601
6,0.8691130609491919
7,0.8781352301962808
8,0.858332888899178
9,0.8791677669628596
10,0.854998945509034
11,0.8614528493780956
12,0.8615528271450916
13,0.8720769259461584
14,0.8684332002554028
15,0.8771528184313571
16,0.8664604443175872
17,0.870889255712873
18,0.8761771179440352
19,0.8722271229228594
20,0.8682632634103343
21,0.8663299759340755
22,0.8647817710929255
23,0.8854504355058823
24,0.8720266619316809
25,0.871996345183744
26,0.872836062948845
27,0.8675424369232418
28,0.8729622108193539
