,0
0,0.0
1,0.2857142857142857
2,0.2857142857142857
3,0.14285714285714285
4,0.14285714285714285
5,0.42857142857142855
6,0.14285714285714285
7,0.2857142857142857
8,0.35714285714285715
9,0.2857142857142857
10,0.42857142857142855
11,0.35714285714285715
12,0.42857142857142855
13,0.42857142857142855
14,0.21428571428571427
15,0.14285714285714285
16,0.35714285714285715
17,0.2857142857142857
18,0.07142857142857142
19,0.35714285714285715
20,0.40476190476190477
21,0.2857142857142857
22,0.2857142857142857
23,0.2857142857142857
24,0.35714285714285715
25,0.2857142857142857
26,0.35714285714285715
27,0.5
28,0.2857142857142857
