,0
0,0.8919178014205824
1,0.8926641773417584
2,0.8988920529975222
3,0.8930063416700368
4,0.8955150446712477
5,0.8792493148512944
6,0.8976390048848594
7,0.8785630647475132
8,0.8867230410844191
9,0.8801604089181538
10,0.8640049098612241
11,0.8821054278167837
12,0.8692564841687649
13,0.8666501030480329
14,0.8716582349696825
15,0.8767392381411607
16,0.8702189800629198
17,0.8763616843855484
18,0.8717102562340656
19,0.871866265586499
20,0.8767623727908871
21,0.8739320730196655
22,0.8743653429590659
23,0.8601678378773013
24,0.869175322091156
25,0.8764121828160348
26,0.87286384143527
27,0.877893436333524
28,0.8743610231123318
