,0
0,0.8696612855668583
1,0.8762616585095576
2,0.8682300990571666
3,0.8718224131757967
4,0.8727175080558538
5,0.8727175080558538
6,0.8744897959183673
7,0.8744897959183673
8,0.8744897959183673
9,0.8744897959183673
10,0.8744897959183673
11,0.8744897959183673
12,0.8744897959183673
13,0.8744897959183673
14,0.8744897959183673
15,0.8744897959183673
16,0.8744897959183673
17,0.8744897959183673
18,0.8744897959183673
19,0.8744897959183673
20,0.8744897959183673
21,0.8744897959183673
22,0.8744897959183673
23,0.8744897959183673
24,0.8744897959183673
25,0.8744897959183673
26,0.8744897959183673
27,0.8744897959183673
28,0.8744897959183673
