,0
0,0.8730025675864285
1,0.8794863174975714
2,0.878547777814933
3,0.8646250178393035
4,0.8618527095250882
5,0.8753605181339758
6,0.8730794898111924
7,0.8725730181201544
8,0.8813435793197698
9,0.8759303579173052
10,0.8788521549915618
11,0.8720632175671934
12,0.8810668660380142
13,0.8816026979023339
14,0.8628627995298095
15,0.8753838181952772
16,0.8787915739965168
17,0.8793495055347884
18,0.8779267358246496
19,0.8759778568239595
20,0.881742288250425
21,0.8743554675033962
22,0.8732132475660601
23,0.8765836646582817
24,0.8773974962598697
25,0.8819374682185073
26,0.8843275118175183
27,0.8892901550046787
28,0.8742228813657384
