,0
0,0.7463512677798392
1,0.7702057746175395
2,0.7120879120879122
3,0.8350078492935635
4,0.8420995670995671
5,0.7899092970521543
6,0.8446608946608948
7,0.8770768913626057
8,0.8703019203019203
9,0.8506493506493508
10,0.8452922077922079
11,0.9312770562770563
12,0.9059987631416203
13,0.8759534116676974
14,0.8506493506493508
15,0.916883116883117
16,0.867828599971457
17,0.8802863802863803
18,0.8815934065934067
19,0.7618508942038353
20,0.8320574162679426
21,0.9698412698412698
22,0.8415790558647702
23,0.9311688311688312
24,0.9001823573252145
25,0.8746364746364748
26,0.9275974025974026
27,0.8694638694638694
28,0.961038961038961
