,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.2857142857142857
5,0.2857142857142857
6,0.42857142857142855
7,0.7142857142857143
8,0.7142857142857143
9,0.7142857142857143
10,0.7142857142857143
11,0.7142857142857143
12,0.8571428571428571
13,0.8571428571428571
14,0.7857142857142857
15,0.7857142857142857
16,0.7857142857142857
17,0.7857142857142857
18,0.7857142857142857
19,0.7857142857142857
20,0.7857142857142857
21,0.7857142857142857
22,0.738095238095238
23,0.738095238095238
24,0.738095238095238
25,0.738095238095238
26,0.738095238095238
27,0.738095238095238
28,0.7619047619047619
