,0
0,0.896178184373037
1,0.9067702167435561
2,0.9114937707615053
3,0.9348686645020672
4,0.8975129473583354
5,0.9474775621932215
6,0.9208480123744313
7,0.9259915973801295
8,0.9530424161669997
9,0.9495587824052735
10,0.9641632466308024
11,0.9465009746192156
12,0.9572721259927833
13,0.9442900824479772
14,0.9667851858810268
15,0.9628552039581155
16,0.9407388697384146
17,0.9664968868778017
18,0.965068816551455
19,0.9629330293449454
20,0.9660217133482554
21,0.9632407704443013
22,0.9481663806663806
23,0.9593927499348054
24,0.9753586556894681
25,0.9481968022807928
26,0.9692882848146007
27,0.9763163373457491
28,0.966114072095378
