,0
0,0.38095238095238093
1,0.33690476190476193
2,0.4714285714285714
3,0.4642857142857143
4,0.4246031746031746
5,0.6142857142857144
6,0.5884353741496599
7,0.6869047619047619
8,0.5476190476190476
9,0.5646258503401361
10,0.6
11,0.619047619047619
12,0.4642857142857143
13,0.380952380952381
14,0.32142857142857145
15,0.25
16,0.32142857142857145
17,0.38571428571428573
18,0.25
19,0.39285714285714285
20,0.21428571428571427
21,0.21428571428571427
22,0.2857142857142857
23,0.2857142857142857
24,0.14285714285714285
25,0.2857142857142857
26,0.14285714285714285
27,0.14285714285714285
28,0.0
