,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,mstype
19,39,44,35,20,40,60,44,54,46,44,41,42,54,23,41,43,30,43,36,48,44,48,64,38,50,56,63,60,52,19,59,71,51,68,57,43,29,32,71,57,66,59,47,26,33,36,43,42,14,33,57,45,51,47,38,40,36,55,27,39,38,35,43,34,43,44,44,65,28,53,57,57,55,47,17,59,0
20,39,43,36,21,35,61,44,54,49,48,40,43,55,23,42,45,31,44,36,48,44,49,65,38,51,57,63,59,52,20,60,71,53,69,55,49,32,34,71,56,67,60,53,28,30,37,44,41,18,31,60,45,50,44,44,39,38,57,25,42,40,36,42,35,48,44,47,65,33,54,58,65,59,48,18,58,0
21,37,43,36,22,40,61,44,54,47,45,40,44,57,26,44,44,28,44,36,48,45,49,64,40,51,57,63,61,50,19,57,72,55,69,57,48,26,33,72,60,67,60,55,28,32,36,42,44,17,34,60,46,49,47,43,40,42,57,25,42,41,35,42,33,49,44,46,64,36,54,58,64,61,49,18,58,0
22,37,44,37,22,41,61,41,56,48,46,41,43,56,23,41,46,29,44,36,51,45,49,64,41,49,56,64,60,52,19,60,71,55,68,58,45,27,32,70,58,66,58,51,27,34,36,43,44,15,34,59,46,50,48,44,39,40,56,27,42,40,34,43,34,47,44,46,66,32,54,57,62,61,49,19,59,0
23,38,43,36,23,38,61,44,56,47,47,38,43,55,21,44,44,30,43,35,50,45,49,64,38,51,55,64,59,49,19,59,72,53,69,58,46,26,35,69,52,66,60,48,29,32,36,42,37,18,33,60,42,52,46,44,34,41,56,26,42,40,33,42,33,50,44,47,64,34,51,56,64,59,49,18,58,0
24,37,44,36,23,38,61,43,50,45,45,40,44,54,19,43,43,31,44,27,50,45,48,64,38,50,55,64,57,51,16,59,68,54,67,57,40,28,32,69,53,65,57,45,29,33,36,44,37,18,29,59,44,50,45,43,36,40,56,23,40,41,36,43,31,45,43,46,66,32,53,57,60,58,48,17,55,0
25,38,42,35,19,39,58,43,52,49,44,40,37,55,24,40,44,30,44,36,44,40,46,64,38,50,56,61,59,48,19,60,68,52,69,57,42,25,33,72,55,66,58,47,24,24,36,42,37,16,32,55,44,50,46,39,39,34,53,25,41,41,33,43,33,46,41,46,61,33,53,57,59,57,45,17,58,0
26,37,44,38,21,39,60,43,53,47,46,41,43,57,22,44,46,30,42,35,49,43,50,64,39,51,57,62,59,52,18,54,71,54,65,58,47,31,32,71,58,66,58,54,28,36,37,43,43,18,33,60,45,48,44,45,40,39,57,22,41,39,33,42,35,46,42,45,65,30,52,58,64,61,50,17,57,0
27,40,43,38,23,41,61,44,54,49,46,40,41,56,23,43,46,30,44,35,52,43,50,64,38,49,56,63,59,51,19,59,71,56,67,54,49,31,34,71,57,68,55,52,30,31,36,42,41,18,33,58,46,52,47,43,36,41,57,21,40,40,33,42,31,49,44,47,66,35,52,57,65,60,49,19,58,0
28,39,43,38,21,39,61,44,51,47,46,40,45,56,24,43,41,26,44,35,48,43,48,65,40,51,57,64,59,50,19,54,70,56,68,56,50,30,33,71,61,67,57,45,30,33,36,42,44,16,33,60,46,49,47,44,40,42,56,25,41,41,33,43,34,47,42,46,66,33,54,58,63,61,50,20,58,0
