,0
0,0.9500000000000001
1,0.9584415584415584
2,0.9166666666666666
3,0.8714285714285713
4,0.913997113997114
5,0.9464285714285714
6,0.9555555555555556
7,0.9266955266955267
8,0.8805555555555556
9,0.8802308802308801
10,0.9422799422799423
11,0.9071428571428571
12,0.9711399711399711
13,0.9365079365079365
14,0.9253968253968254
15,0.9584415584415584
16,0.868697175840033
17,0.9571428571428572
18,0.9126984126984128
19,0.9238095238095239
20,0.9303751803751805
21,0.9682539682539683
22,0.9597402597402597
23,0.9285714285714286
24,0.989010989010989
25,0.9380952380952381
26,0.96984126984127
27,0.9597402597402598
28,0.9282828282828284
