,0
0,0.7344827586206897
1,0.8669950738916257
2,0.8039408866995073
3,0.8672413793103448
4,0.8529556650246306
5,0.874384236453202
6,0.8812807881773399
7,0.874384236453202
8,0.874384236453202
9,0.874384236453202
10,0.874384236453202
11,0.874384236453202
12,0.874384236453202
13,0.874384236453202
14,0.874384236453202
15,0.874384236453202
16,0.874384236453202
17,0.874384236453202
18,0.874384236453202
19,0.874384236453202
20,0.874384236453202
21,0.874384236453202
22,0.874384236453202
23,0.874384236453202
24,0.874384236453202
25,0.874384236453202
26,0.874384236453202
27,0.874384236453202
28,0.874384236453202
