,0
0,0.8834033721251766
1,0.8461963845536629
2,0.9317211948790897
3,0.9141773352299669
4,0.9317055632845107
5,0.9224627006581895
6,0.9280095595885071
7,0.9239453449979766
8,0.9322995638785113
9,0.9322995638785113
10,0.9328935644725119
11,0.9328935644725119
12,0.9328935644725119
13,0.9328935644725119
14,0.9328935644725119
15,0.9328935644725119
16,0.9328935644725119
17,0.9328935644725119
18,0.9328935644725119
19,0.9328935644725119
20,0.9328935644725119
21,0.9328935644725119
22,0.9328935644725119
23,0.9328935644725119
24,0.9328935644725119
25,0.9328935644725119
26,0.9328935644725119
27,0.9328935644725119
28,0.9328935644725119
